PRNG,keyLength,seedLength,maxCount_perc,processTime
prngBBS,16,256,3.4e-05,0.000277112365
prngBBS,16,512,3.4e-05,0.000279920753
prngBBS,16,1024,3.3e-05,0.00027464751
prngBBS,32,256,2e-06,0.0005578092880000001
prngBBS,32,512,2e-06,0.0005552889209999999
prngBBS,32,1024,2e-06,0.0005530956560000001
prngBBS,64,256,1e-06,0.001190395625
prngBBS,64,512,1e-06,0.001201908157
prngBBS,64,1024,1e-06,0.001160598927
prngHash,16,256,3.4e-05,9.83097e-07
prngHash,16,512,3.4e-05,1.023806e-06
prngHash,16,1024,3.6e-05,1.179289e-06
prngHash,32,256,2e-06,1.353357e-06
prngHash,32,512,2e-06,1.420652e-06
prngHash,32,1024,2e-06,1.660726e-06
prngHash,64,256,1e-06,2.103588e-06
prngHash,64,512,1e-06,2.31998e-06
prngHash,64,1024,1e-06,2.598055e-06
prngRSA,16,256,3.4e-05,0.000334098451
prngRSA,16,512,3.5e-05,0.000402960619
prngRSA,16,1024,3.5e-05,0.00065661989
prngRSA,32,256,4e-06,0.00071308051
prngRSA,32,512,3e-06,0.000801310604
prngRSA,32,1024,3e-06,0.001033182776
prngRSA,64,256,2e-06,0.001093170692
prngRSA,64,512,2e-06,0.000996009481
prngRSA,64,1024,2e-06,0.0014531997820000002
prngControl,16,256,3.4e-05,3.43423e-07
prngControl,16,512,3.5e-05,3.24332e-07
prngControl,16,1024,3.4e-05,3.2828e-07
prngControl,32,256,2e-06,3.51598e-07
prngControl,32,512,2e-06,3.53953e-07
prngControl,32,1024,2e-06,3.3260199999999995e-07
prngControl,64,256,1e-06,3.9855600000000004e-07
prngControl,64,512,1e-06,3.90234e-07
prngControl,64,1024,1e-06,3.872890000000001e-07
